z, massflux, p, T, rho, M, alpha, dS, P_tot, T_tot
-0.0223511705686, 83.8170978864, 152967.583217, 306.836987548, 1.73668893816, 0.137455166081, -7.61790230948e-05, -0.00215148735678, 154990.849231, 307.996551288
-0.0215183946488, 83.817078058, 152967.419716, 306.836895806, 1.73668758374, 0.137459781654, -8.31989750372e-05, -0.00214342951066, 154990.861791, 307.996562332
-0.0206856187291, 83.8171006959, 152967.203419, 306.836775958, 1.73668580059, 0.13746571494, -6.59083199473e-05, -0.00212789514255, 154990.870966, 307.996574135
-0.0198528428094, 83.8170673846, 152966.927121, 306.836621869, 1.73668351485, 0.137473134053, -5.68542429249e-05, -0.00211134324478, 154990.877468, 307.996585216
-0.0190200668896, 83.8170418412, 152966.576191, 306.836422449, 1.73668066269, 0.137482554568, -8.88968066044e-05, -0.00210247881037, 154990.885572, 307.996595452
-0.0181872909699, 83.8170656826, 152966.129413, 306.836164584, 1.73667702447, 0.137494578671, -0.000155617973383, -0.00210424493561, 154990.896233, 307.996604694
-0.0173545150502, 83.8170454855, 152965.555619, 306.835838034, 1.73667235485, 0.137509745111, -0.000207535134162, -0.00209146073931, 154990.899983, 307.996615439
-0.0165217391304, 83.8170172311, 152964.822025, 306.835417336, 1.73666636424, 0.137528980901, -0.000231151155758, -0.00208568420864, 154990.898725, 307.996622478
-0.0156889632107, 83.8169751372, 152963.892423, 306.834880986, 1.7366588221, 0.137553349372, -0.000234450010019, -0.00208899311161, 154990.897045, 307.996628069
-0.014856187291, 83.8169821913, 152962.716521, 306.834198044, 1.73664930494, 0.137584341205, -0.000297417850439, -0.00210787186392, 154990.900401, 307.996633786
-0.0140234113712, 83.817010356, 152961.233143, 306.833332865, 1.73663731843, 0.137623697494, -0.000568801728469, -0.00214361854179, 154990.91403, 307.996642745
-0.0131906354515, 83.8170063508, 152959.356311, 306.83223662, 1.73662215992, 0.137673588006, -0.00114911754371, -0.00219401192025, 154990.935193, 307.996654757
-0.0123578595318, 83.8169885315, 152956.965714, 306.830841214, 1.73660285414, 0.137736951853, -0.00188800863767, -0.00225525655633, 154990.954418, 307.996666493
-0.011525083612, 83.8169654685, 152953.924319, 306.829060331, 1.73657829432, 0.137817560338, -0.00251954191472, -0.00235160520497, 154990.976638, 307.996674485
-0.0106923076923, 83.8169863443, 152950.044522, 306.826785495, 1.7365470098, 0.137920355903, -0.00298648924258, -0.00248466199987, 154990.999337, 307.996678256
-0.00985953177258, 83.8170508101, 152945.071624, 306.823878014, 1.73650684453, 0.138051639553, -0.00370178163402, -0.00262865740758, 154991.003799, 307.99667699
-0.00902675585284, 83.8170719213, 152938.642169, 306.82016159, 1.73645468875, 0.13821936961, -0.00521954711052, -0.00267627190155, 154990.925, 307.996669046
-0.00819397993311, 83.8170032403, 152930.365485, 306.815409148, 1.73638738564, 0.138434061042, -0.00733187317128, -0.00263434527131, 154990.764157, 307.996656112
-0.00736120401338, 83.8177906333, 152919.982889, 306.809285594, 1.73630385259, 0.138711715492, -0.00825882276264, -0.00311034244894, 154990.844347, 307.996639814
-0.00652842809365, 83.8193399643, 152906.594348, 306.801354177, 1.73619633959, 0.13907289818, -0.00683022178803, -0.00384056375432, 154991.00682, 307.996616518
-0.00569565217391, 83.8203743963, 152888.15431, 306.791063574, 1.73604472877, 0.139543738117, -0.0068160494856, -0.00278550505016, 154990.144139, 307.996589978
-0.00486287625418, 83.8199590759, 152863.906026, 306.777692759, 1.73584442425, 0.14015834113, -0.0121103881608, -0.00087687919731, 154988.736257, 307.996556326
-0.00403010033445, 83.8197777588, 152833.307239, 306.760204218, 1.73559520801, 0.140969148678, -0.0226958570968, -0.000484064130428, 154988.05153, 307.996521895
-0.00319732441472, 83.8195268066, 152793.520049, 306.737045268, 1.73527356206, 0.142056618615, -0.0401885261743, -0.00135488758138, 154987.925493, 307.996488795
-0.00236454849498, 83.8182739856, 152739.718166, 306.70587363, 1.73483786995, 0.14354829903, -0.0735569254765, -0.00208734471431, 154987.544842, 307.996450653
-0.00153177257525, 83.8173910995, 152665.177041, 306.662906454, 1.73423323426, 0.145669043924, -0.141149159001, -0.00244335137071, 154986.710441, 307.996404775
-0.000698996655518, 83.8157331373, 152558.475621, 306.601509563, 1.73336754373, 0.148875435209, -0.31075544347, -0.00272876399078, 154985.47832, 307.996346437
0.000133779264214, 86.3826064266, 152400.124696, 306.510910237, 1.73208060355, 0.1541024866, -1.02918447549, -0.00168066989557, 154982.993618, 307.996269515
0.000966555183946, 90.9541794415, 152224.256083, 306.41050502, 1.73064850805, 0.15949555395, -1.80952758603, 0.000665645840142, 154979.43394, 307.996226002
