X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
0.0545484949833, 133723.358489, 295.517101974, 0.459242179689, 65.9188827663, 0.834412292797, 101.351808011, 64.3791582933, 153480.22569, 308.001535415
0.0553846153846, 133717.596039, 295.521916861, 0.459123725011, 65.9384995467, 0.863928260175, 101.244299374, 64.3151408541, 153462.963978, 308.000031411
0.056220735786, 133718.564214, 295.523907388, 0.458998064266, 65.934313039, 0.868767604222, 101.233804448, 64.3112321283, 153453.052713, 307.995157935
0.0570568561873, 133728.72327, 295.522031576, 0.458863061748, 65.8976254396, 0.839876695497, 101.35584589, 64.3894539512, 153453.222574, 307.985700889
0.0578929765886, 133716.415396, 295.514790225, 0.459120734565, 65.8958834331, 0.841440111835, 101.407531354, 64.4295832827, 153462.049367, 307.992726007
0.05872909699, 133643.79533, 295.493113724, 0.460432850325, 65.9877998648, 0.924647333063, 101.270560152, 64.3678993798, 153494.14542, 308.043982651
0.0595652173913, 133554.609765, 295.450723154, 0.461815105596, 65.9122416346, 0.972950437189, 101.743802176, 64.7419712535, 153512.439208, 308.076763884
0.0604013377926, 133356.793386, 295.267706053, 0.463587688626, 64.6811928621, 0.775993970388, 106.66557501, 68.1102384785, 153433.805009, 307.97922466
0.061237458194, 133176.427145, 295.10083359, 0.465203905344, 63.5587395985, 0.596411784931, 111.587347845, 71.1813780014, 153362.107432, 307.890289743
0.0620735785953, 132724.91371, 294.835997157, 0.468500159804, 62.123929061, 0.67111255386, 117.319043174, 75.2681483075, 153124.858474, 307.793290783
0.0629096989967, 132249.385627, 294.570106257, 0.471907840432, 60.7299993443, 0.79446807289, 123.250408321, 79.265348628, 152870.067474, 307.701840374
0.063745819398, 131863.188792, 294.349422182, 0.474542419822, 59.5677638843, 0.879612411256, 128.395706657, 82.5569211516, 152651.379022, 307.615368653
0.0645819397993, 131612.065433, 294.193081961, 0.475895588299, 58.7303491777, 0.894260664764, 131.602049466, 84.8198396025, 152477.331702, 307.52610571
0.0654180602007, 131372.887734, 294.04417867, 0.477184388054, 57.9327693594, 0.908212117108, 134.808392274, 86.9751135341, 152311.563619, 307.441088906
0.066254180602, 131200.181938, 293.93477252, 0.477809969756, 57.3012614525, 0.911693187958, 137.22251712, 88.5945988925, 152165.232304, 307.360477902
0.0670903010033, 131077.063274, 293.854782404, 0.477932988413, 56.7922173573, 0.907194662077, 138.996977658, 89.8160117792, 152032.718523, 307.282661326
0.0679264214047, 130957.048496, 293.776808881, 0.478052905706, 56.2960065282, 0.90280954637, 140.771438195, 91.0066322125, 151903.545482, 307.206806547
0.068762541806, 130866.143976, 293.716701237, 0.477437515184, 55.8057285425, 0.896121471518, 142.280987381, 92.0249100479, 151744.384641, 307.108806187
0.0695986622074, 130797.061033, 293.669988343, 0.476272383832, 55.3201343551, 0.88771401298, 143.58582651, 92.913756139, 151562.871102, 306.994288874
0.0704347826087, 130729.222368, 293.624116812, 0.475128238083, 54.8432863804, 0.879457984223, 144.89066564, 93.7865929013, 151384.626869, 306.881834173
