z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   +4.909365e-02	   +1.012155e+02	   +1.337681e+05	   +2.955372e+02	   +1.534970e+05	   +3.080000e+02	   +8.061137e-01	   -6.601200e+01
   +5.032776e-02	   +1.014137e+02	   +1.337244e+05	   +2.955239e+02	   +1.534689e+05	   +3.080001e+02	   +8.542309e-01	   -6.596829e+01
   +5.156187e-02	   +1.012812e+02	   +1.337326e+05	   +2.955271e+02	   +1.534715e+05	   +3.079995e+02	   +8.485717e-01	   -6.599874e+01
   +5.279599e-02	   +1.012520e+02	   +1.337372e+05	   +2.955254e+02	   +1.534802e+05	   +3.080000e+02	   +8.328739e-01	   -6.600865e+01
   +5.403010e-02	   +1.014209e+02	   +1.337278e+05	   +2.955138e+02	   +1.534916e+05	   +3.080019e+02	   +8.133007e-01	   -6.597761e+01
   +5.526421e-02	   +1.012580e+02	   +1.337179e+05	   +2.955204e+02	   +1.534675e+05	   +3.080011e+02	   +8.579605e-01	   -6.600921e+01
   +5.649833e-02	   +1.012730e+02	   +1.337217e+05	   +2.955228e+02	   +1.534538e+05	   +3.079921e+02	   +8.579917e-01	   -6.599453e+01
   +5.773244e-02	   +1.014461e+02	   +1.337320e+05	   +2.955191e+02	   +1.534542e+05	   +3.079807e+02	   +8.222295e-01	   -6.594471e+01
   +5.896656e-02	   +1.012298e+02	   +1.336254e+05	   +2.954865e+02	   +1.535069e+05	   +3.080587e+02	   +9.418468e-01	   -6.608704e+01
   +6.020067e-02	   +1.054818e+02	   +1.334020e+05	   +2.953092e+02	   +1.534539e+05	   +3.080025e+02	   +8.200122e-01	   -6.503853e+01
   +6.143478e-02	   +1.127932e+02	   +1.331168e+05	   +2.950569e+02	   +1.533337e+05	   +3.078698e+02	   +5.755050e-01	   -6.335517e+01
   +6.266890e-02	   +1.215483e+02	   +1.323792e+05	   +2.946430e+02	   +1.529401e+05	   +3.077275e+02	   +7.620164e-01	   -6.118319e+01
   +6.390301e-02	   +1.290036e+02	   +1.318147e+05	   +2.943186e+02	   +1.526191e+05	   +3.075983e+02	   +8.803580e-01	   -5.947137e+01
   +6.513712e-02	   +1.337322e+02	   +1.314532e+05	   +2.940931e+02	   +1.523676e+05	   +3.074687e+02	   +8.998066e-01	   -5.825948e+01
   +6.637124e-02	   +1.374715e+02	   +1.311842e+05	   +2.939231e+02	   +1.521479e+05	   +3.073490e+02	   +9.068814e-01	   -5.729129e+01
   +6.760535e-02	   +1.400938e+02	   +1.310032e+05	   +2.938058e+02	   +1.519545e+05	   +3.072358e+02	   +9.013097e-01	   -5.654662e+01
   +6.883946e-02	   +1.424055e+02	   +1.308595e+05	   +2.937116e+02	   +1.517287e+05	   +3.070983e+02	   +8.932729e-01	   -5.582128e+01
   +7.007358e-02	   +1.443293e+02	   +1.307579e+05	   +2.936433e+02	   +1.514609e+05	   +3.069297e+02	   +8.821727e-01	   -5.510728e+01
   +7.130769e-02	   +1.460208e+02	   +1.306743e+05	   +2.935896e+02	   +1.511933e+05	   +3.067633e+02	   +8.818095e-01	   -5.444720e+01
   +7.254181e-02	   +1.468716e+02	   +1.306468e+05	   +2.935832e+02	   +1.509057e+05	   +3.065914e+02	   +9.191221e-01	   -5.392524e+01
   +7.377592e-02	   +1.477223e+02	   +1.306196e+05	   +2.935768e+02	   +1.506214e+05	   +3.064216e+02	   +9.560051e-01	   -5.340930e+01
   +7.501003e-02	   +1.482011e+02	   +1.306578e+05	   +2.935997e+02	   +1.502787e+05	   +3.061967e+02	   +9.497715e-01	   -5.284106e+01
   +7.624415e-02	   +1.485701e+02	   +1.307151e+05	   +2.936313e+02	   +1.499199e+05	   +3.059564e+02	   +9.309663e-01	   -5.225889e+01
   +7.747826e-02	   +1.489341e+02	   +1.307684e+05	   +2.936611e+02	   +1.495590e+05	   +3.057160e+02	   +9.151481e-01	   -5.167334e+01
   +7.871237e-02	   +1.492554e+02	   +1.307915e+05	   +2.936786e+02	   +1.491684e+05	   +3.054663e+02	   +9.234830e-01	   -5.103837e+01
   +7.994649e-02	   +1.495767e+02	   +1.308144e+05	   +2.936959e+02	   +1.487795e+05	   +3.052177e+02	   +9.317820e-01	   -5.040613e+01
   +8.118060e-02	   +1.498908e+02	   +1.308326e+05	   +2.937095e+02	   +1.483674e+05	   +3.049538e+02	   +9.377436e-01	   -4.972544e+01
   +8.241472e-02	   +1.501806e+02	   +1.308350e+05	   +2.937107e+02	   +1.478738e+05	   +3.046365e+02	   +9.360045e-01	   -4.887690e+01
   +8.364883e-02	   +1.504703e+02	   +1.308373e+05	   +2.937119e+02	   +1.473821e+05	   +3.043204e+02	   +9.342721e-01	   -4.803161e+01
   +8.488294e-02	   +1.508332e+02	   +1.308260e+05	   +2.937006e+02	   +1.468760e+05	   +3.039920e+02	   +9.200652e-01	   -4.711920e+01
   +8.611706e-02	   +1.514897e+02	   +1.307601e+05	   +2.936397e+02	   +1.463078e+05	   +3.036116e+02	   +8.560197e-01	   -4.593138e+01
