"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          36, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.80275246e+00, -2.68214561e+00, -2.86839581e+00, -2.20942291e+00, 7.10958874e-01, 5.0000000000, 8.0000000000, 0.1561163743
          37, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.80424478e+00, -2.68722704e+00, -2.87270671e+00, -2.20984987e+00, 7.09700828e-01, 5.0000000000, 8.0000000000, 0.1597138047
          38, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.80296269e+00, -2.69141450e+00, -2.87665129e+00, -2.20576277e+00, 7.11659389e-01, 5.0000000000, 8.0000000000, 0.1631705761
          39, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.79908318e+00, -2.69369027e+00, -2.88692080e+00, -2.19817148e+00, 7.16690862e-01, 5.0000000000, 8.0000000000, 0.1666491946
          40, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.79323224e+00, -2.69256145e+00, -2.89799862e+00, -2.18848356e+00, 7.24165634e-01, 5.0000000000, 8.0000000000, 0.1701354583
          41, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.78636712e+00, -2.68619343e+00, -2.90773807e+00, -2.17820235e+00, 7.33084120e-01, 5.0000000000, 8.0000000000, 0.1736896078
          42, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.77960814e+00, -2.67273976e+00, -2.91510203e+00, -2.16870908e+00, 7.42255788e-01, 5.0000000000, 8.0000000000, 0.1771312435
          43, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.77407263e+00, -2.65100450e+00, -2.91940881e+00, -2.16116337e+00, 7.50481214e-01, 5.0000000000, 8.0000000000, 0.1806810260
          44, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.77074188e+00, -2.62108583e+00, -2.92007509e+00, -2.15647452e+00, 7.56695697e-01, 5.0000000000, 8.0000000000, 0.1842248003
          45, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.77037695e+00, -2.58453522e+00, -2.91699299e+00, -2.15530735e+00, 7.60055627e-01, 5.0000000000, 8.0000000000, 0.1877729972
          46, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.77347336e+00, -2.54388854e+00, -2.91061149e+00, -2.15810198e+00, 7.59978960e-01, 5.0000000000, 8.0000000000, 0.1912811359
          47, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.78023968e+00, -2.50194040e+00, -2.90133001e+00, -2.16512712e+00, 7.56156832e-01, 5.0000000000, 8.0000000000, 0.1947960854
          48, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.79059383e+00, -2.46116733e+00, -2.88980692e+00, -2.17649279e+00, 7.48547645e-01, 5.0000000000, 8.0000000000, 0.1984121879
          49, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.80416068e+00, -2.42347636e+00, -2.87699005e+00, -2.19212569e+00, 7.37372021e-01, 5.0000000000, 8.0000000000, 0.2018268665
          50, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.82027415e+00, -2.39018581e+00, -2.86384221e+00, -2.21173662e+00, 7.23104886e-01, 5.0000000000, 8.0000000000, 0.2052991748
          51, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.83799121e+00, -2.36210674e+00, -2.85116543e+00, -2.23477756e+00, 7.06463690e-01, 5.0000000000, 8.0000000000, 0.2088793794
          52, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.85613254e+00, -2.33964410e+00, -2.83947710e+00, -2.26039197e+00, 6.88385841e-01, 5.0000000000, 8.0000000000, 0.2124244809
          53, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.87336970e+00, -2.32287661e+00, -2.82892641e+00, -2.28737920e+00, 6.69983162e-01, 5.0000000000, 8.0000000000, 0.2158474326
          54, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.88837221e+00, -2.31162795e+00, -2.81927011e+00, -2.31420194e+00, 6.52462610e-01, 5.0000000000, 8.0000000000, 0.2193156322
          55, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.90000331e+00, -2.30552754e+00, -2.80992909e+00, -2.33909182e+00, 6.37004211e-01, 5.0000000000, 8.0000000000, 0.2228405833
          56, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.90751232e+00, -2.30406131e+00, -2.80026866e+00, -2.36028509e+00, 6.24610930e-01, 5.0000000000, 8.0000000000, 0.2263445218
          57, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.91066110e+00, -2.30660431e+00, -2.78990249e+00, -2.37629958e+00, 6.15957778e-01, 5.0000000000, 8.0000000000, 0.2298359950
          58, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.90973083e+00, -2.31245419e+00, -2.77831959e+00, -2.38622382e+00, 6.11288922e-01, 5.0000000000, 8.0000000000, 0.2333445787
          59, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.90540497e+00, -2.32087154e+00, -2.76482429e+00, -2.38997351e+00, 6.10404744e-01, 5.0000000000, 8.0000000000, 0.2368713737
          60, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.89858742e+00, -2.33112132e+00, -2.74896307e+00, -2.38823434e+00, 6.12744126e-01, 5.0000000000, 8.0000000000, 0.2403406620
          61, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.89021618e+00, -2.34250971e+00, -2.73069440e+00, -2.38227410e+00, 6.17529778e-01, 5.0000000000, 8.0000000000, 0.2438348929
          62, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.88114639e+00, -2.35440282e+00, -2.71015724e+00, -2.37314411e+00, 6.23920451e-01, 5.0000000000, 8.0000000000, 0.2473600507
          63, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.87212673e+00, -2.36629290e+00, -2.68795847e+00, -2.36264831e+00, 6.31073609e-01, 5.0000000000, 8.0000000000, 0.2508747578
          64, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.86372388e+00, -2.37783561e+00, -2.66480891e+00, -2.35198294e+00, 6.38266946e-01, 5.0000000000, 8.0000000000, 0.2543772062
          65, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.85634773e+00, -2.38880808e+00, -2.64135736e+00, -2.34182086e+00, 6.44932754e-01, 5.0000000000, 8.0000000000, 0.2578951120
