"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
36,	+2.5001790610601360e-01,	+0.0000000000000000e+00,	+1.4495437447435489e-01,	0.3636363636363636
37,	+2.5001786979046714e-01,	+0.0000000000000000e+00,	+1.4583957663226577e-01,	0.3737373737373738
38,	+2.5001783347492057e-01,	+0.0000000000000000e+00,	+1.4672477879017665e-01,	0.3838383838383839
39,	+2.5001779715937411e-01,	+0.0000000000000000e+00,	+1.4760998094808750e-01,	0.3939393939393940
40,	+2.5001776084382754e-01,	+0.0000000000000000e+00,	+1.4849518310599838e-01,	0.4040404040404041
41,	+2.5001772452828108e-01,	+0.0000000000000000e+00,	+1.4938038526390926e-01,	0.4141414141414142
42,	+2.5001768821273451e-01,	+0.0000000000000000e+00,	+1.5026558742182011e-01,	0.4242424242424243
43,	+2.5001765189718800e-01,	+0.0000000000000000e+00,	+1.5115078957973099e-01,	0.4343434343434344
44,	+2.5001761558164148e-01,	+0.0000000000000000e+00,	+1.5203599173764187e-01,	0.4444444444444445
45,	+2.5001757926609497e-01,	+0.0000000000000000e+00,	+1.5292119389555275e-01,	0.4545454545454546
46,	+2.5001754295054845e-01,	+0.0000000000000000e+00,	+1.5380639605346363e-01,	0.4646464646464647
47,	+2.5001750663500194e-01,	+0.0000000000000000e+00,	+1.5469159821137451e-01,	0.4747474747474748
48,	+2.5001747031945543e-01,	+0.0000000000000000e+00,	+1.5557680036928537e-01,	0.4848484848484849
49,	+2.5001743400390891e-01,	+0.0000000000000000e+00,	+1.5646200252719628e-01,	0.4949494949494950
50,	+2.5001739768836240e-01,	+0.0000000000000000e+00,	+1.5734720468510713e-01,	0.5050505050505051
51,	+2.5001736137281588e-01,	+0.0000000000000000e+00,	+1.5823240684301801e-01,	0.5151515151515152
52,	+2.5001732505726937e-01,	+0.0000000000000000e+00,	+1.5911760900092886e-01,	0.5252525252525253
53,	+2.5001728874172285e-01,	+0.0000000000000000e+00,	+1.6000281115883974e-01,	0.5353535353535354
54,	+2.5001725242617634e-01,	+0.0000000000000000e+00,	+1.6088801331675062e-01,	0.5454545454545455
55,	+2.5001721611062988e-01,	+0.0000000000000000e+00,	+1.6177321547466150e-01,	0.5555555555555556
56,	+2.5001717979508331e-01,	+0.0000000000000000e+00,	+1.6265841763257238e-01,	0.5656565656565657
57,	+2.5001714347953685e-01,	+0.0000000000000000e+00,	+1.6354361979048326e-01,	0.5757575757575758
58,	+2.5001710716399028e-01,	+0.0000000000000000e+00,	+1.6442882194839412e-01,	0.5858585858585859
59,	+2.5001707084844382e-01,	+0.0000000000000000e+00,	+1.6531402410630502e-01,	0.5959595959595960
60,	+2.5001703453289725e-01,	+0.0000000000000000e+00,	+1.6619922626421588e-01,	0.6060606060606061
61,	+2.5001699821735079e-01,	+0.0000000000000000e+00,	+1.6708442842212676e-01,	0.6161616161616162
62,	+2.5001696190180428e-01,	+0.0000000000000000e+00,	+1.6796963058003761e-01,	0.6262626262626263
63,	+2.5001692558625777e-01,	+0.0000000000000000e+00,	+1.6885483273794849e-01,	0.6363636363636365
64,	+2.5001688927071125e-01,	+0.0000000000000000e+00,	+1.6974003489585937e-01,	0.6464646464646465
65,	+2.5001685295516474e-01,	+0.0000000000000000e+00,	+1.7062523705377025e-01,	0.6565656565656566
66,	+2.5001681663961822e-01,	+0.0000000000000000e+00,	+1.7151043921168113e-01,	0.6666666666666667
67,	+2.5001678032407171e-01,	+0.0000000000000000e+00,	+1.7239564136959201e-01,	0.6767676767676768
68,	+2.5001674400852519e-01,	+0.0000000000000000e+00,	+1.7328084352750289e-01,	0.6868686868686870
69,	+2.5001670769297868e-01,	+0.0000000000000000e+00,	+1.7416604568541375e-01,	0.6969696969696970
70,	+2.5001667137743216e-01,	+0.0000000000000000e+00,	+1.7505124784332463e-01,	0.7070707070707072
71,	+2.5001663506188565e-01,	+0.0000000000000000e+00,	+1.7593645000123551e-01,	0.7171717171717172
72,	+2.5001659874633914e-01,	+0.0000000000000000e+00,	+1.7682165215914639e-01,	0.7272727272727273
73,	+2.5001656243079262e-01,	+0.0000000000000000e+00,	+1.7770685431705724e-01,	0.7373737373737375
74,	+2.5001652611524611e-01,	+0.0000000000000000e+00,	+1.7859205647496812e-01,	0.7474747474747475
75,	+2.5001650341805676e-01,	+0.0000000000000000e+00,	+1.7914530715955129e-01,	0.7575757575757577
76,	+2.5001648526031983e-01,	+0.0000000000000000e+00,	+1.7958790735302524e-01,	0.7676767676767677
77,	+2.5001646710258291e-01,	+0.0000000000000000e+00,	+1.8003050754649916e-01,	0.7777777777777778
78,	+2.5001644894484598e-01,	+0.0000000000000000e+00,	+1.8047310773997310e-01,	0.7878787878787880
79,	+2.5001643078710906e-01,	+0.0000000000000000e+00,	+1.8091570793344705e-01,	0.7979797979797980
80,	+2.5001641262937213e-01,	+0.0000000000000000e+00,	+1.8135830812692100e-01,	0.8080808080808082
81,	+2.5001639447163521e-01,	+0.0000000000000000e+00,	+1.8180090832039492e-01,	0.8181818181818182
82,	+2.5001637631389828e-01,	+0.0000000000000000e+00,	+1.8224350851386886e-01,	0.8282828282828284
83,	+2.5001635815616130e-01,	+0.0000000000000000e+00,	+1.8268610870734281e-01,	0.8383838383838385
84,	+2.5001633999842438e-01,	+0.0000000000000000e+00,	+1.8312870890081673e-01,	0.8484848484848485
