#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   -5.822823e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.692402e-09	   +2.354830e-01	   +9.862267e+01
   -5.799800e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.709411e-09	   +2.354829e-01	   +9.862264e+01
   -5.776777e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.718046e-09	   +2.354829e-01	   +9.862262e+01
   -5.753754e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.718310e-09	   +2.354829e-01	   +9.862259e+01
   -5.730731e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.710202e-09	   +2.354828e-01	   +9.862257e+01
   -5.707708e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.693721e-09	   +2.354828e-01	   +9.862254e+01
   -5.684685e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.668869e-09	   +2.354827e-01	   +9.862252e+01
   -5.661662e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.635645e-09	   +2.354827e-01	   +9.862249e+01
   -5.638639e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.594049e-09	   +2.354826e-01	   +9.862246e+01
   -5.615616e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.544082e-09	   +2.354826e-01	   +9.862244e+01
   -5.592593e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.485745e-09	   +2.354825e-01	   +9.862241e+01
   -5.569570e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.419036e-09	   +2.354825e-01	   +9.862239e+01
   -5.546547e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.343956e-09	   +2.354824e-01	   +9.862236e+01
   -5.523524e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +6.260506e-09	   +2.354824e-01	   +9.862234e+01
