#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   +1.253846e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.944370e-13	   +3.691644e-01	   +1.558230e+02
   +1.261538e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.957451e-13	   +3.691644e-01	   +1.558230e+02
   +1.269231e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.970533e-13	   +3.691644e-01	   +1.558230e+02
   +1.276923e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.982582e-13	   +3.691644e-01	   +1.558230e+02
   +1.284615e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.978735e-13	   +3.691644e-01	   +1.558230e+02
   +1.292308e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.974887e-13	   +3.691644e-01	   +1.558230e+02
   +1.300000e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.971040e-13	   +3.691644e-01	   +1.558230e+02
   +1.307692e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.967192e-13	   +3.691644e-01	   +1.558230e+02
   +1.315385e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.963345e-13	   +3.691644e-01	   +1.558230e+02
   +1.323077e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.959497e-13	   +3.691644e-01	   +1.558230e+02
   +1.330769e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.955650e-13	   +3.691644e-01	   +1.558230e+02
   +1.338462e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.951802e-13	   +3.691644e-01	   +1.558230e+02
   +1.346154e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.947955e-13	   +3.691644e-01	   +1.558230e+02
   +1.353846e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.944107e-13	   +3.691644e-01	   +1.558230e+02
   +1.361538e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.940260e-13	   +3.691644e-01	   +1.558230e+02
   +1.369231e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.936412e-13	   +3.691644e-01	   +1.558230e+02
   +1.376923e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.932564e-13	   +3.691644e-01	   +1.558230e+02
   +1.384615e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.928717e-13	   +3.691644e-01	   +1.558230e+02
   +1.392308e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.924869e-13	   +3.691644e-01	   +1.558230e+02
   +1.400000e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.921022e-13	   +3.691644e-01	   +1.558230e+02
